      Lon      Lat    Year   Stand   Patch     dep     fix    fert    flux   leach     NEE
   -71.25   -32.75    1956     133       0   -0.49   -0.90   -0.00    9.48    0.28    8.37
   -71.25   -32.75    1956     133       1   -0.49   -0.42   -0.00    1.47    0.25    0.81
   -71.25   -32.75    1956     133       2   -0.49   -1.72   -0.00    4.47    0.32    2.57
   -71.25   -32.75    1956     133       3   -0.49   -1.66   -0.00    3.92    0.04    1.82
   -71.25   -32.75    1956     133       4   -0.49   -0.54   -0.00    0.64    0.60    0.21
   -71.25   -32.75    1956     134       0   -0.49   -0.61   -0.00    1.71    0.42    1.04
   -71.25   -32.75    1956     134       1   -0.49   -0.66   -0.00   11.17    1.08   11.11
   -71.25   -32.75    1956     134       2   -0.49   -1.72   -0.00    5.60    0.24    3.63
   -71.25   -32.75    1956     134       3   -0.49   -0.50   -0.00    1.19    0.43    0.62
   -71.25   -32.75    1956     134       4   -0.49   -0.38   -0.00    0.51    0.61    0.25
   -71.25   -32.75    1956     140       0   -0.49   -1.40   -0.00    5.06    0.13    3.30
   -71.25   -32.75    1956     140       1   -0.49   -1.46   -0.00    5.13    0.13    3.31
   -71.25   -32.75    1956     140       2   -0.49   -0.50   -0.00    0.54    0.46    0.01
   -71.25   -32.75    1956     140       3   -0.49   -0.35   -0.00    0.47    0.66    0.28
   -71.25   -32.75    1956     140       4   -0.49   -0.44   -0.00    1.23    0.43    0.73
   -71.25   -32.75    1956     160       0   -0.49   -0.43   -0.00    0.50    0.61    0.19
   -71.25   -32.75    1956     160       1   -0.49   -1.40   -0.00    4.82    0.61    3.53
   -71.25   -32.75    1956     160       2   -0.49   -1.33   -0.00    4.77    0.41    3.37
   -71.25   -32.75    1956     160       3   -0.49   -1.55   -0.00    5.31    0.68    3.95
   -71.25   -32.75    1956     160       4   -0.49   -0.47   -0.00    0.33    0.44   -0.19
   -71.25   -32.75    1957       0       0   -0.49   -1.49   -0.00   16.81    0.45   15.27
   -71.25   -32.75    1957       0       1   -0.49   -1.84   -0.00    6.51    0.51    4.69
   -71.25   -32.75    1957       0       2   -0.49   -1.35   -0.00    7.82    0.31    6.29
   -71.25   -32.75    1957       0       3   -0.49   -0.92   -0.00    2.89    1.76    3.24
   -71.25   -32.75    1957       0       4   -0.49   -1.77   -0.00    5.30    0.47    3.51
   -71.25   -32.75    1957     110       0   -0.49   -0.92   -0.00    5.32    0.08    3.99
   -71.25   -32.75    1957     110       1   -0.49   -0.46   -0.00    0.60    0.59    0.25
   -71.25   -32.75    1957     110       2   -0.49   -1.01   -0.00    0.80    0.69   -0.01
   -71.25   -32.75    1957     110       3   -0.49   -1.37   -0.00    4.33    0.27    2.74
   -71.25   -32.75    1957     110       4   -0.49   -0.70   -0.00    2.81    1.70    3.31
   -71.25   -32.75    1957     131       0   -0.49   -1.67   -0.00    6.75    0.06    4.66
   -71.25   -32.75    1957     131       1   -0.49   -0.46   -0.00    1.51    0.54    1.10
   -71.25   -32.75    1957     131       2   -0.49   -0.76   -0.00    2.31    0.52    1.58
   -71.25   -32.75    1957     131       3   -0.49   -0.83   -0.00    3.09    1.62    3.38
   -71.25   -32.75    1957     131       4   -0.49   -3.43   -0.00    6.32    0.24    2.63
   -71.25   -32.75    1957     132       0   -0.49   -0.83   -0.00    3.36    1.42    3.45
   -71.25   -32.75    1957     132       1   -0.49   -0.41   -0.00    0.53    0.49    0.12
   -71.25   -32.75    1957     132       2   -0.49   -0.45   -0.00    0.44    0.55    0.05
   -71.25   -32.75    1957     132       3   -0.49   -0.43   -0.00    0.58    0.57    0.23
   -71.25   -32.75    1957     132       4   -0.49   -0.73   -0.00    8.03    0.48    7.28
   -71.25   -32.75    1957     133       0   -0.49   -0.74   -0.00    3.18    1.49    3.43
   -71.25   -32.75    1957     133       1   -0.49   -1.11   -0.00    4.56    0.39    3.35
   -71.25   -32.75    1957     133       2   -0.49   -1.99   -0.00    6.72    0.28    4.52
   -71.25   -32.75    1957     133       3   -0.49   -3.63   -0.00    6.54    0.14    2.56
   -71.25   -32.75    1957     133       4   -0.49   -0.43   -0.00    1.11    0.54    0.74
